visit_id,steps,std_dwell,cv_dwell,entropy_dwell,repeat_ratio,autocorr_lag1
1.238.104.19#0,46,4.1336,0.6889,3.5202,0.1957,-0.2099
141.26.16.64#2,59,30.1074,4.0143,2.3638,0.4310,-0.0489
72.14.147.207#0,45,2.2600,3.1075,0.9271,0.8636,-0.0072
185.213.174.18#0,46,4.0846,2.7631,1.7775,0.5652,-0.0528
58.77.25.116#11,30,274.9006,2.1299,3.3051,0.3667,-0.2240
58.228.235.169#1,41,110.3940,2.8180,3.7521,0.2250,-0.1150
58.239.68.176#0,44,4.3820,1.5834,2.3479,0.3721,-0.0629
31.59.129.102#0,47,2.6260,3.0199,0.8523,0.8696,0.0141
182.226.31.14#19,34,214.0105,2.8697,3.3829,0.3030,-0.1094
175.210.234.178#2,40,114.5447,4.4672,3.2667,0.2051,0.0109
118.36.23.243#2,98,145.7762,2.4596,4.3116,0.2680,0.0035
84.32.131.194#0,40,0.3343,2.6077,0.5525,0.8718,0.1080
65.21.124.77#0,41,0.1561,6.2450,0.1687,0.9750,-0.0263
176.2.181.65#0,40,20.7255,0.9774,4.4387,0.1026,0.1139
175.210.234.178#3,35,15.3934,1.8110,2.9719,0.3235,-0.0427
1.238.186.254#0,57,125.1747,3.9139,3.1532,0.2857,-0.0587
93.123.109.165#1,54,5.0506,4.9604,0.4487,0.9273,-0.0414
182.226.31.14#13,48,48.2290,3.3282,3.8004,0.1636,0.0380
141.11.62.234#0,41,4.8733,3.3040,0.9476,0.8500,-0.0361
183.108.104.136#0,34,76.1398,3.0924,3.7666,0.1622,-0.0127
14.7.119.239#0,193,7.3263,3.3788,2.0512,0.5347,0.0693
93.123.109.167#1,54,2.6273,4.8166,0.4851,0.9273,-0.0410
84.157.89.139#0,29,1.8862,1.2155,2.1094,0.4828,-0.3071
59.20.102.91#4,36,5.2688,1.3865,3.0891,0.2750,-0.2365
183.97.189.1#0,104,47.8567,4.0570,3.2208,0.3107,-0.0330
119.201.1.99#0,31,176.9943,2.4081,3.7899,0.2000,-0.1598
182.226.31.14#6,226,29.9334,4.7868,2.5931,0.3867,0.0209
141.11.62.236#0,48,3.3578,3.2207,1.0677,0.8298,0.0281
88.151.34.253#0,38,5.8239,2.6036,2.2856,0.4737,-0.0591
88.151.34.254#0,32,4.9494,2.0305,2.3870,0.4062,-0.1049
141.26.16.64#3,112,83.8122,3.9122,3.3424,0.2920,-0.0545
210.183.213.190#0,70,41.4174,2.9021,3.9060,0.1857,-0.0423
59.29.198.175#0,66,5.8713,1.2148,3.1394,0.2727,0.0387
118.36.23.243#4,30,374.8936,1.9934,3.3745,0.4138,-0.2564
39.115.112.39#0,44,8.7763,1.7553,2.8407,0.3256,-0.0586
14.7.119.239#1,70,3.7907,1.6055,2.6685,0.2917,-0.0263
1.238.143.155#1,27,22.2967,3.4578,2.7659,0.2414,-0.0508
59.20.102.91#0,41,126.4388,3.4967,3.6738,0.2045,-0.0502
222.100.214.31#0,60,126.7126,2.8190,3.7710,0.2203,-0.1180
211.225.244.57#0,49,25.3600,1.9988,3.2054,0.3958,0.3043
182.226.31.14#16,31,28.8103,1.5686,3.7232,0.1333,0.3377
210.183.213.190#1,112,81.1302,5.6523,3.1017,0.2586,-0.0279
211.55.147.186#1,46,5.5546,1.0374,3.5550,0.2292,0.0172
182.226.31.14#12,40,69.2186,3.3625,2.3552,0.4390,0.3431
125.246.22.69#0,93,8.9940,1.5239,3.3539,0.2500,-0.0924
39.118.149.115#0,58,28.2592,3.7679,3.0565,0.2333,-0.0180
182.226.31.14#4,55,146.6504,3.6971,3.1595,0.2778,-0.0365
65.21.124.77#1,34,0.1714,5.6569,0.1959,0.9697,-0.0009
1.238.143.155#0,38,38.1759,2.8060,3.6697,0.2105,-0.0667
49.142.65.97#0,35,11.9064,1.4030,3.7632,0.2162,-0.1189
180.66.148.163#0,82,12.0063,1.4668,3.4461,0.1975,-0.1016
