visit_id,path_sequence
1.238.104.19#0,"[List](15.00s) ➔ [List](3.00s) ➔ [Detail](10.00s) ➔ [Detail](17.00s) ➔ [Detail](7.00s) ➔ [List](7.00s) ➔ [List](5.00s) ➔ [List](12.00s) ➔ [List](9.00s) ➔ [List](8.00s) ➔ [List](5.00s) ➔ [List](5.00s) ➔ [List](9.00s) ➔ [List](3.00s) ➔ [List](5.00s) ➔ [List](3.00s) ➔ [List](5.00s) ➔ [List](5.00s) ➔ [List](4.00s) ➔ [List](9.00s) ➔ [List](12.00s) ➔ [List](5.00s) ➔ [List](9.00s) ➔ [List](2.00s) ➔ [Detail](11.00s) ➔ [List](1.00s) ➔ [List](7.00s) ➔ [List](1.00s) ➔ [List](7.00s) ➔ [List](1.00s) ➔ [List](6.00s) ➔ [List](0.00s) ➔ [List](12.00s) ➔ [List](1.00s) ➔ [List](8.00s) ➔ [List](1.00s) ➔ [List](7.00s) ➔ [List](1.00s) ➔ [List](5.00s) ➔ [List](3.00s) ➔ [List](3.00s) ➔ [List](2.00s) ➔ [List](5.00s) ➔ [List](4.00s) ➔ [List](15.00s) ➔ [List]"
141.26.16.64#2,"[List](0.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](9.00s) ➔ [List](2.00s) ➔ [List](0.00s) ➔ [List](2.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](3.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](4.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](5.00s) ➔ [List](0.00s) ➔ [List](3.00s) ➔ [List](1.00s) ➔ [List](1.00s) ➔ [List](174.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](11.00s) ➔ [List](18.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](12.00s) ➔ [List](12.00s) ➔ [List](1.00s) ➔ [List](157.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](1.00s) ➔ [List](3.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](0.00s) ➔ [List]"
72.14.147.207#0,"[List](3.00s) ➔ [List](2.00s) ➔ [List](7.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [List](0.00s) ➔ [Detail](8.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](11.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail]"
185.213.174.18#0,"[List](26.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [Detail](1.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [List](1.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](2.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [List](0.00s) ➔ [Detail](0.00s) ➔ [Detail](4.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](5.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](1.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [Detail](5.00s) ➔ [Detail](1.00s) ➔ [Detail](0.00s) ➔ [List](3.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail]"
58.77.25.116#11,"[List](1.00s) ➔ [List](7.00s) ➔ [Detail](133.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [Detail](131.00s) ➔ [List](0.00s) ➔ [List](80.00s) ➔ [List](1.00s) ➔ [List](139.00s) ➔ [List](1.00s) ➔ [List](34.00s) ➔ [List](1.00s) ➔ [List](472.00s) ➔ [List](1.00s) ➔ [List](1222.00s) ➔ [List](1.00s) ➔ [List](3.00s) ➔ [List](0.00s) ➔ [List](18.00s) ➔ [List](0.00s) ➔ [List](2.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](756.00s) ➔ [List](1.00s) ➔ [List](280.00s) ➔ [List](1.00s) ➔ [List](582.00s) ➔ [List]"
58.228.235.169#1,"[List](2.00s) ➔ [List](590.00s) ➔ [List](3.00s) ➔ [List](5.00s) ➔ [Detail](8.00s) ➔ [Detail](13.00s) ➔ [List](2.00s) ➔ [List](45.00s) ➔ [List](1.00s) ➔ [Detail](13.00s) ➔ [List](0.00s) ➔ [List](4.00s) ➔ [Detail](292.00s) ➔ [List](1.00s) ➔ [List](5.00s) ➔ [Detail](50.00s) ➔ [List](1.00s) ➔ [List](320.00s) ➔ [List](2.00s) ➔ [List](3.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](47.00s) ➔ [List](0.00s) ➔ [List](7.00s) ➔ [Detail](54.00s) ➔ [List](1.00s) ➔ [List](9.00s) ➔ [List](3.00s) ➔ [List](2.00s) ➔ [List](7.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](3.00s) ➔ [List](11.00s) ➔ [List](2.00s) ➔ [List](51.00s) ➔ [List](1.00s) ➔ [List]"
58.239.68.176#0,"[List](3.00s) ➔ [List](6.00s) ➔ [List](1.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](16.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](3.00s) ➔ [Detail](1.00s) ➔ [Detail](7.00s) ➔ [List](0.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](3.00s) ➔ [List](1.00s) ➔ [List](0.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](3.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [Detail](26.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](3.00s) ➔ [List](2.00s) ➔ [List](3.00s) ➔ [List](4.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](1.00s) ➔ [List](1.00s) ➔ [List]"
31.59.129.102#0,"[List](0.00s) ➔ [List](4.00s) ➔ [List](10.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](3.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [List](0.00s) ➔ [Detail](13.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](7.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](3.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail](0.00s) ➔ [Detail]"
182.226.31.14#19,"[List](8.00s) ➔ [List](62.00s) ➔ [List](88.00s) ➔ [List](5.00s) ➔ [List](9.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](3.00s) ➔ [List](3.00s) ➔ [List](311.00s) ➔ [List](18.00s) ➔ [List](17.00s) ➔ [List](10.00s) ➔ [Detail](108.00s) ➔ [List](3.00s) ➔ [List](873.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](1.00s) ➔ [List](1.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List](3.00s) ➔ [List](6.00s) ➔ [List](2.00s) ➔ [List](6.00s) ➔ [List](3.00s) ➔ [List](901.00s) ➔ [List](2.00s) ➔ [List](2.00s) ➔ [List]"
175.210.234.178#2,"[List](10.00s) ➔ [List](10.00s) ➔ [List](4.00s) ➔ [List](8.00s) ➔ [List](5.00s) ➔ [List](5.00s) ➔ [List](6.00s) ➔ [List](3.00s) ➔ [List](5.00s) ➔ [List](6.00s) ➔ [List](6.00s) ➔ [List](5.00s) ➔ [List](6.00s) ➔ [List](11.00s) ➔ [List](8.00s) ➔ [List](4.00s) ➔ [Detail](35.00s) ➔ [List](731.00s) ➔ [List](6.00s) ➔ [List](2.00s) ➔ [List](15.00s) ➔ [Detail](10.00s) ➔ [List](6.00s) ➔ [Detail](10.00s) ➔ [List](3.00s) ➔ [List](5.00s) ➔ [List](6.00s) ➔ [Detail](9.00s) ➔ [List](4.00s) ➔ [List](4.00s) ➔ [List](5.00s) ➔ [List](6.00s) ➔ [Detail](8.00s) ➔ [List](3.00s) ➔ [List](7.00s) ➔ [Detail](8.00s) ➔ [Detail](8.00s) ➔ [List](4.00s) ➔ [List](3.00s) ➔ [List]"
