Target_URL,Requests
/simple-circle.svg,2459
/og-cmsn.png,1129
/,688
/robots.txt,419
/ads.txt,60
/_app/immutable/chunks/CdEA5IGF.js,60
/_app/immutable/assets/4.DKFR7gsf.css,55
/_app/immutable/assets/SearchInput.D0_vdPm1.css,53
/_app/immutable/chunks/CuilMOwz.js,46
/_app/immutable/chunks/BLwI6wx6.js,45
/_app/immutable/assets/0.CDe7Ebpi.css,43
/_app/immutable/chunks/DpQN6e6e.js,42
/flat_light.svg,42
/_app/immutable/chunks/vWhhC5tU.js,41
/_app/immutable/chunks/BU7RnTwS.js,40
/_app/immutable/chunks/CLw2XI23.js,40
/_app/immutable/assets/5.BWWFkUQY.css,39
/_app/immutable/chunks/CyAc9lQq.js,35
/_app/immutable/assets/0.gmNAZu_z.css,35
/_app/immutable/nodes/4.B85kT_eU.js,35
