visit_id,steps,std_dwell,cv_dwell,entropy_dwell,repeat_ratio,autocorr_lag1
e44fa7c5-d3ec-5019-9ab6-0733dfc53a31,30,98.9573,1.9375,4.2373,0.1379,-0.1104
09f7ddd9-c0c4-5142-848f-382493db586f,33,77.2703,3.7966,3.9139,0.1250,-0.0427
57d709fd-3386-5f3d-a81c-c2de58067f7c,39,34.3905,2.3355,4.0208,0.1579,-0.0807
a227adae-4612-5988-82b4-665b96b1319e,63,70.2774,3.8008,4.2585,0.1452,0.1625
b84534cd-f67a-5255-b814-c1abe877bcb6,32,390.6931,3.7529,4.0023,0.1290,-0.0264
645a5cf8-2517-5724-9a38-ec91fd06e3c4,44,8.4092,1.6669,3.6318,0.1860,0.0446
2e6b05a8-55a4-5763-a482-6396f2ba81f0,44,9.4416,0.8272,4.8330,0.0698,-0.0050
3364530d-3633-5b89-8dff-c9ed1a514bc3,46,27.2168,2.4685,4.2167,0.1111,0.0344
e94f9cfd-af7e-5111-aabf-b5723af9dc20,85,40.5177,2.8004,4.2841,0.1190,-0.0125
3a1cb82a-3718-5c91-ba53-c24a3b38fda1,54,4.7194,1.1069,3.7673,0.1698,0.1634
ca041903-5059-581c-9eb2-508ba3ee977a,40,24.8784,1.2354,4.5094,0.1026,-0.1639
be3ae068-958d-5985-9301-6c72bfd77c3f,31,1.8184,0.5897,2.7093,0.3667,-0.0556
4247878f-18bd-5270-b09e-5c7f016ed9d3,30,4.8542,0.7303,3.5476,0.1379,0.1116
4b2d6542-8345-5368-8af7-ae4ae5992fe9,31,111.5871,2.8972,3.1853,0.3000,0.2764
b2439588-d41b-5fd3-ac1c-557d3cde9382,43,4.4005,1.6094,3.0034,0.2619,-0.0430
849d94b7-d36b-5358-b473-7c2cd4f7fbce,40,3.6522,0.5236,4.0991,0.1026,0.0419
f147d515-80d9-5f00-995a-72599383b770,48,180.3087,2.5815,4.9511,0.1064,-0.1225
9feaea08-5475-572a-99b2-d47e7502e0a8,46,1.7833,0.5067,3.2889,0.2000,-0.0369
2bc3e5fa-32f8-5ce9-a9bf-98556e2b2ee2,90,79.4256,2.8814,4.9022,0.0787,0.0013
d96275eb-0d14-5076-85c0-762c4d381621,40,139.6986,3.0364,4.0653,0.1282,-0.0691
b374c023-f47e-58d8-9dd7-14fa46dbec42,57,25.9170,1.9412,4.2644,0.1607,-0.0924
8ead1a69-9a3e-5745-9f78-a4bc9e5da343,42,178.2707,2.7458,4.8145,0.0732,-0.0714
7b13da15-7a94-535f-97d8-068030c810a7,61,42.2597,2.2707,5.0172,0.0833,-0.0174
5b05fdd5-f02e-5591-a19e-0cd7bec7e010,40,1.6576,0.9003,2.8397,0.3077,0.3396
b13104da-1bc7-5790-ae97-0624b89ad27f,59,56.7913,2.6531,4.2529,0.1034,-0.0922
25f65a8b-db2b-5243-bfb0-f1c4d82ab7b3,47,138.9804,5.2089,3.8769,0.1304,-0.0250
5bc36cd9-a3a8-5ab5-b28e-3dd6918d1a8f,53,2.9110,0.5461,3.5914,0.1538,-0.0224
487d7357-b4cc-5b84-ab82-358c17409692,39,5.7904,0.6981,4.2211,0.1053,-0.0198
20f177fd-5fea-5e77-8f25-44cb1683408a,45,261.2974,4.4685,4.3088,0.1136,-0.0398
29dae258-0568-5e79-8c16-1808774425af,55,41.3869,1.9755,4.3265,0.1296,-0.1222
063c6ddb-590b-5f7f-91d1-6e21f523bd49,73,32.5625,2.2811,4.3594,0.1111,0.0154
9a30e482-0934-543b-8c29-8c381d3ed56f,103,48.7458,3.8807,4.0473,0.2059,-0.0073
9fa7847a-b0ca-5ca4-8ea6-d63081a37189,34,2.9595,0.8442,3.3462,0.2727,-0.0195
4172601e-6245-5938-bdb4-b82c48fb6f1d,74,12.6868,1.9630,3.8210,0.1507,-0.0510
fc434a8f-e943-587e-aa90-8e81cd5df80a,46,46.7800,3.5988,4.1971,0.1333,-0.0333
c16fac67-fd88-5be1-8e18-1732c596edb3,39,116.1849,4.4299,4.0208,0.1579,0.0076
26b1ab1f-2181-5685-9fdc-3e27e57ceaf6,55,53.0888,1.7409,5.0395,0.0926,0.0422
2ae8d4ac-0261-5ce1-a974-d61381f46f77,89,9.2951,1.5166,4.2711,0.1250,-0.0938
b8ce6eea-cdc7-5d75-860d-524288a0db02,90,71.4430,5.5118,3.5174,0.2472,-0.0261
9170bd0c-a6da-5ffc-b56f-63aada38a557,58,137.2093,3.7602,4.1897,0.1930,-0.0488
b56761d6-7b77-51f8-aa4d-35c30bb37fe0,30,1.6641,0.9188,2.9946,0.3103,0.3699
a060a148-5119-5b65-be8a-dec866cf02ca,85,64.8873,4.3610,4.5124,0.0952,-0.0265
f8c40552-e2be-511b-8dec-abcea935b5e3,77,20.8703,2.4495,4.1908,0.1711,0.1188
fa2b0b1e-5bf0-5140-a698-a611d7f8b800,32,49.6064,2.5872,4.1313,0.0968,-0.0499
6df26349-90b0-5877-af8d-aa29c55d55a1,98,14.8104,2.1014,4.0910,0.1443,-0.0120
48964e52-a1b7-534d-8ac1-1b08b7a1eb9e,51,8.0739,1.1040,4.3362,0.1200,0.0615
dc30188a-aa8f-5e7c-b9ef-601c0b6d738e,39,20.0730,0.9393,4.7544,0.0789,0.0818
