visit_id,path_sequence
b6f6cd78-cc06-572f-8956-60c6cbfadfb2,"[List](9.24s) ➔ [List](3.58s) ➔ [List]"
7c6485c9-ca04-5db7-ac91-3d663f7ad45d,"[List](34.13s) ➔ [List](2.35s) ➔ [List](19.55s) ➔ [Search]"
b90f61d6-f80a-5cd7-9732-1254b5fddd79,"[List](6.43s) ➔ [Detail](13.60s) ➔ [Detail]"
65ff8732-80fc-5bad-a6d0-048e10b39ca6,"[List](30.12s) ➔ [Detail](3.20s) ➔ [Detail](225.89s) ➔ [Detail](8.45s) ➔ [Detail](9.93s) ➔ [List]"
3f730eaa-d189-5d70-9e6b-77b75adb2d09,"[List](1.99s) ➔ [List](6.86s) ➔ [List]"
65671798-7381-5bd4-9413-53f97bb9a339,"[List](3.68s) ➔ [Search](4.38s) ➔ [Detail](6.18s) ➔ [Search](1.61s) ➔ [List]"
4ed6ea25-93d9-5d05-b65b-0b8311d27f7a,"[List](66.93s) ➔ [List](1.94s) ➔ [List](0.99s) ➔ [List](2.08s) ➔ [List]"
1379c517-0ddd-547a-8919-0d9564438d73,"[List](3.58s) ➔ [List](357.23s) ➔ [List](3.78s) ➔ [Detail]"
fb2c4628-5a29-5a8d-bf24-7c0b0e34ac73,"[List](3.14s) ➔ [List](1.16s) ➔ [List](2.37s) ➔ [List](2.69s) ➔ [List](1.52s) ➔ [List](1.90s) ➔ [List](4.67s) ➔ [List]"
2ea7fe88-9b31-5009-818e-96d6aa67bffd,"[List](8.60s) ➔ [Detail](14.90s) ➔ [List](19.13s) ➔ [List](2.87s) ➔ [List](8.17s) ➔ [Search](6.51s) ➔ [Detail](24.84s) ➔ [Search](1.57s) ➔ [Detail](9.65s) ➔ [Search](2.04s) ➔ [Detail](12.22s) ➔ [Detail](12.01s) ➔ [Detail](61.83s) ➔ [Search](7.59s) ➔ [Search](5.13s) ➔ [Detail](19.95s) ➔ [Search](1.98s) ➔ [Search](4.05s) ➔ [Detail](21.72s) ➔ [Detail](11.98s) ➔ [Detail](7.32s) ➔ [Detail](11.57s) ➔ [Detail](14.66s) ➔ [Search](1.28s) ➔ [Search](6.51s) ➔ [Search](5.11s) ➔ [Detail](5.77s) ➔ [List]"
e8509ba6-eb5a-5895-a94f-abf1fc247bdf,"[List](4.97s) ➔ [List](2.44s) ➔ [List](1.17s) ➔ [List](1.12s) ➔ [List](0.97s) ➔ [List](44.48s) ➔ [Detail](7.02s) ➔ [List]"
f9c05d1e-3f32-51e1-9b7d-6f919dfe67ab,"[List](4.99s) ➔ [List](4.27s) ➔ [List](1.26s) ➔ [List](8.29s) ➔ [List](2.85s) ➔ [List](4.72s) ➔ [List](2.29s) ➔ [Detail]"
cc218eae-8f5e-55eb-abb4-351031af1216,"[List](9.90s) ➔ [Detail](4.59s) ➔ [List](5.73s) ➔ [List](7.10s) ➔ [Detail](14.61s) ➔ [List](5.44s) ➔ [List](5.10s) ➔ [List](4.54s) ➔ [Detail]"
548461be-c856-5e42-9142-8aca19741a9f,"[List](6.10s) ➔ [List](5.84s) ➔ [List](501.29s) ➔ [List](12.90s) ➔ [Detail](5.42s) ➔ [List](18.38s) ➔ [List](5.87s) ➔ [Detail](11.23s) ➔ [List](5.32s) ➔ [List](6.57s) ➔ [List](6.43s) ➔ [List](4.75s) ➔ [List](5.81s) ➔ [List]"
e38c15ca-80e1-58a4-a4b0-757b9dbcf310,"[List](3.08s) ➔ [List](0.59s) ➔ [Detail](154.26s) ➔ [Detail]"
26f05c66-e8f6-5242-ac6d-f2e872cf29ff,"[List](4.65s) ➔ [List](3.13s) ➔ [List](3.71s) ➔ [Detail]"
84b20f3e-d761-5bfc-9793-3ef6649b4c89,"[List](2.95s) ➔ [Search](3.44s) ➔ [Detail](4.15s) ➔ [Detail](9.83s) ➔ [Search](1.77s) ➔ [List]"
44d4055a-30ac-599a-bbe0-2b425cc372b3,"[List](4.28s) ➔ [List](1.08s) ➔ [List]"
